Imaginary,Real
0.534543,0.228618
0.540067,0.213764
0.545169,0.198793
0.549847,0.183719
0.554101,0.168553
0.557928,0.153308
0.561328,0.137996
0.564302,0.122629
0.566848,0.107219
0.568968,0.0917781
0.570662,0.0763188
0.571931,0.0608526
0.572777,0.0453914
0.573202,0.029947
0.573207,0.0145308
0.572794,-0.000845626
0.571968,-0.0161709
0.57073,-0.0314339
0.569084,-0.0466234
0.567034,-0.0617287
0.564583,-0.0767389
0.561736,-0.0916435
0.558497,-0.106432
0.55487,-0.121094
0.550862,-0.13562
0.546477,-0.15
0.541721,-0.164225
0.536599,-0.178284
0.531117,-0.192168
0.525281,-0.20587
0.519099,-0.219379
0.512576,-0.232687
0.50572,-0.245787
0.498536,-0.258669
0.491033,-0.271326
0.483218,-0.283751
0.475098,-0.295936
0.466682,-0.307874
0.457976,-0.319559
0.448988,-0.330982
0.439728,-0.342139
0.430202,-0.353023
0.42042,-0.363629
0.41039,-0.37395
0.40012,-0.383981
0.389619,-0.393718
0.378896,-0.403156
0.367959,-0.412289
0.356818,-0.421114
0.34548,-0.429627
0.333956,-0.437824
0.322255,-0.445701
0.310384,-0.453256
0.298354,-0.460485
0.286173,-0.467385
0.273851,-0.473955
0.261397,-0.480192
0.248819,-0.486093
0.236128,-0.491658
0.223331,-0.496885
0.210439,-0.501772
0.19746,-0.506319
0.184403,-0.510525
0.171278,-0.51439
0.158092,-0.517912
0.144856,-0.521093
0.131579,-0.523932
0.118267,-0.52643
0.104932,-0.528587
0.0915806,-0.530405
0.0782222,-0.531884
0.0648651,-0.533026
0.0515178,-0.533832
0.0381886,-0.534304
0.0248857,-0.534444
0.0116173,-0.534253
-0.0016085,-0.533735
-0.0147839,-0.532892
-0.027901,-0.531726
-0.0409521,-0.53024
-0.0539296,-0.528437
-0.0668261,-0.526321
-0.0796342,-0.523895
-0.0923467,-0.521161
-0.104956,-0.518125
-0.117457,-0.514789
-0.12984,-0.511158
-0.142101,-0.507236
-0.154231,-0.503027
-0.166226,-0.498535
-0.178078,-0.493765
-0.189782,-0.488722
-0.201332,-0.483409
-0.212721,-0.477833
-0.223944,-0.471998
-0.234996,-0.465909
-0.245872,-0.459572
-0.256565,-0.452991
-0.267071,-0.446172
-0.277386,-0.43912
-0.287504,-0.431841
-0.297421,-0.424341
-0.307132,-0.416625
-0.316633,-0.408699
-0.325921,-0.400569
-0.334991,-0.39224
-0.343839,-0.383719
-0.352463,-0.375012
-0.360857,-0.366124
-0.36902,-0.357062
-0.376948,-0.347832
-0.384637,-0.338439
-0.392086,-0.328891
-0.399292,-0.319193
-0.406252,-0.309352
-0.412963,-0.299374
-0.419424,-0.289265
-0.425633,-0.279032
-0.431587,-0.26868
-0.437286,-0.258216
-0.442726,-0.247647
-0.447908,-0.236978
-0.452829,-0.226217
-0.45749,-0.215369
-0.461887,-0.20444
-0.466022,-0.193437
-0.469893,-0.182367
-0.473499,-0.171234
-0.476841,-0.160047
-0.479918,-0.14881
-0.48273,-0.13753
-0.485276,-0.126214
-0.487558,-0.114866
-0.489575,-0.103494
-0.491328,-0.0921032
-0.492817,-0.0806996
-0.494044,-0.0692892
-0.495008,-0.057878
-0.495711,-0.0464717
-0.496153,-0.0350762
-0.496337,-0.0236971
-0.496263,-0.0123403
-0.495933,-0.00101127
-0.495348,0.0102844
-0.49451,0.0215411
-0.49342,0.0327535
-0.492081,0.0439162
-0.490494,0.0550239
-0.488662,0.0660712
-0.486586,0.0770531
-0.484269,0.0879644
-0.481713,0.0988002
-0.478921,0.109555
-0.475895,0.120225
-0.472638,0.130804
-0.469153,0.141289
-0.465442,0.151674
-0.461508,0.161954
-0.457354,0.172126
-0.452984,0.182185
-0.4484,0.192127
-0.443605,0.201947
-0.438604,0.211641
-0.433398,0.221205
-0.427992,0.230635
-0.42239,0.239928
-0.416594,0.249079
-0.410608,0.258084
-0.404436,0.266941
-0.398082,0.275646
-0.391549,0.284195
-0.384842,0.292584
-0.377964,0.300811
-0.370918,0.308873
-0.36371,0.316766
-0.356343,0.324487
-0.348822,0.332034
-0.341149,0.339403
-0.33333,0.346592
-0.325369,0.353599
-0.317269,0.360421
-0.309036,0.367055
-0.300673,0.373499
-0.292185,0.379751
-0.283576,0.385809
-0.27485,0.391671
-0.266012,0.397335
-0.257067,0.402798
-0.248018,0.40806
-0.238871,0.413119
-0.229629,0.417972
-0.220298,0.422619
-0.210881,0.427058
-0.201383,0.431288
-0.19181,0.435308
-0.182164,0.439116
-0.172451,0.442712
-0.162676,0.446095
-0.152843,0.449263
-0.142956,0.452216
-0.13302,0.454955
-0.123039,0.457476
-0.113019,0.459782
-0.102963,0.46187
-0.092877,0.463742
-0.0827643,0.465396
-0.0726298,0.466832
-0.0624781,0.468052
-0.0523136,0.469053
-0.0421408,0.469838
-0.0319642,0.470405
-0.0217882,0.470756
-0.0116173,0.47089
-0.00145575,0.470809
0.0086919,0.470512
0.0188214,0.470001
0.0289283,0.469277
0.0390083,0.468339
0.0490572,0.467189
0.0590707,0.465828
0.0690445,0.464257
0.0789744,0.462477
0.0888564,0.460489
0.0986861,0.458295
0.10846,0.455896
0.118173,0.453294
0.127822,0.450489
0.137402,0.447484
0.14691,0.44428
0.156342,0.44088
0.165693,0.437283
0.174961,0.433494
0.184141,0.429513
0.193229,0.425343
0.202222,0.420985
0.211116,0.416442
0.219908,0.411716
0.228593,0.40681
0.237169,0.401725
0.245631,0.396464
0.253978,0.39103
0.262204,0.385424
0.270307,0.379651
0.278283,0.373711
0.28613,0.367609
0.293844,0.361346
0.301422,0.354925
0.308861,0.348351
0.316158,0.341624
0.32331,0.334749
0.330314,0.327728
0.337167,0.320564
0.343867,0.313261
0.350411,0.305821
0.356797,0.298249
0.363021,0.290546
0.369081,0.282717
0.374975,0.274765
0.3807,0.266693
0.386255,0.258504
0.391636,0.250203
0.396842,0.241792
0.401871,0.233276
0.406719,0.224657
0.411387,0.21594
0.415871,0.207128
0.420169,0.198224
0.424281,0.189233
0.428204,0.180159
0.431936,0.171004
0.435476,0.161773
0.438823,0.15247
0.441975,0.143099
0.444931,0.133663
0.447689,0.124167
0.450248,0.114614
0.452608,0.105009
0.454767,0.0953554
0.456723,0.0856571
0.458477,0.0759184
0.460027,0.0661434
0.461373,0.056336
0.462513,0.0465004
0.463448,0.0366408
0.464177,0.0267613
0.464699,0.0168659
0.465013,0.00695895
0.465121,-0.00295552
0.465021,-0.0128733
0.464713,-0.0227903
0.464197,-0.0327022
0.463474,-0.0426048
0.462543,-0.0524941
0.461405,-0.0623658
0.460059,-0.0722157
0.458506,-0.0820396
0.456747,-0.0918334
0.454782,-0.101593
0.452611,-0.111314
0.450236,-0.120992
0.447656,-0.130623
0.444873,-0.140204
0.441888,-0.149729
0.438701,-0.159195
0.435314,-0.168598
0.431728,-0.177933
0.427943,-0.187196
0.423962,-0.196384
0.419785,-0.205492
0.415415,-0.214516
0.410851,-0.223453
0.406097,-0.232298
0.401154,-0.241047
0.396023,-0.249696
0.390706,-0.258241
0.385206,-0.26668
0.379524,-0.275006
0.373662,-0.283218
0.367623,-0.29131
